PWM,Gz_deg_per_sec
0.0,2.9
5.0,2.89
10.0,2.89
15.0,2.9
20.0,2.9
25.0,2.9
30.0,2.89
35.0,2.89
40.0,2.89
45.0,2.92
50.0,2.9
55.0,2.9
60.0,2.91
65.0,2.9
70.0,2.91
75.0,2.9
80.0,2.9
85.0,2.89
90.0,2.9
95.0,2.9
100.0,2.96
105.0,2.94
110.0,2.96
115.0,2.91
120.0,2.92
125.0,2.99
130.0,2.91
135.0,2.96
140.0,15.78
145.0,3.09
150.0,3.44
155.0,7.61
160.0,27.24
165.0,35.96
170.0,43.67
175.0,41.97
180.0,54.74
185.0,55.98
190.0,58.36
195.0,65.13
200.0,52.39
205.0,73.29
210.0,76.52
215.0,69.76
220.0,81.33
225.0,85.83
230.0,90.88
235.0,97.22
240.0,95.77
245.0,100.86
250.0,108.26
255.0,120.32
