,pwm,rpm
0,0,0
1,5,0
2,10,0
3,15,0
4,20,0
5,25,0
6,30,0
7,35,0
8,40,0
9,45,15
10,50,18.75
11,55,30
12,60,30
13,65,41.25
14,70,45
15,75,48.75
16,80,56.25
17,85,60
18,90,63.75
19,95,67.5
20,100,67.5
21,105,71.25
22,110,75
23,115,78.75
24,120,78.75
25,125,82.5
26,130,82.5
27,135,86.25
28,140,90
29,145,90
30,150,90
31,155,93.75
32,160,90
33,165,90
34,170,93.75
35,175,97.5
36,180,93.75
37,185,97.5
38,190,97.5
39,195,97.5
40,200,101.25
41,205,101.25
42,210,101.25
43,215,101.25
44,220,101.25
45,225,105
46,230,105
47,235,105
48,240,105
49,245,105
50,250,112.5
51,255,112.5
