,pwm,rpm
0,0,0.0
1,5,0.0
2,10,0.0
3,15,0.0
4,20,0.0
5,25,0.0
6,30,0.0
7,35,0.0
8,40,0.0
9,45,0.0
10,50,0.0
11,55,0.0
12,60,0.0
13,65,0.0
14,70,0.0
15,75,41.25
16,80,48.75
17,85,52.5
18,90,60.0
19,95,60.0
20,100,63.75
21,105,67.5
22,110,71.25
23,115,75.0
24,120,78.75
25,125,78.75
26,130,82.5
27,135,82.5
28,140,86.25
29,145,86.25
30,150,90.0
31,155,93.75
32,160,93.75
33,165,93.75
34,170,93.75
35,175,93.75
36,180,93.75
37,185,97.5
38,190,97.5
39,195,101.25
40,200,101.25
41,205,105.0
42,210,101.25
43,215,105.0
44,220,105.0
45,225,105.0
46,230,105.0
47,235,105.0
48,240,105.0
49,245,108.75
50,250,108.75
51,255,116.25
